frame,joint,x,y,z,visibility,img_w,img_h,xn,yn
0,nose,0.6074414253234863,0.14096388220787048,-0.3198917508125305,0.99998939037323,1280,720,-0.14405313236960945,-6.967149144461284
0,left_eye_inner,0.6136126518249512,0.12492924928665161,-0.3082517087459564,0.9999499320983887,1280,720,-0.007339059065670791,-7.322371883421346
0,left_eye,0.6170685291290283,0.12466815114021301,-0.3082619607448578,0.9999496936798096,1280,720,0.06922061071259342,-7.328156113043003
0,left_eye_outer,0.6197333931922913,0.12447316199541092,-0.308253675699234,0.999947190284729,1280,720,0.1282565933982853,-7.332475798964371
0,right_eye_inner,0.6035463213920593,0.12533965706825256,-0.30560770630836487,0.9999412298202515,1280,720,-0.23034319550068547,-7.3132799274665645
0,right_eye,0.6008597612380981,0.1253279149532318,-0.30560505390167236,0.9999276399612427,1280,720,-0.28985982185314674,-7.3135400560444594
0,right_eye_outer,0.5978322625160217,0.12533360719680786,-0.30560797452926636,0.9999088048934937,1280,720,-0.3569294201119838,-7.313413953104414
0,left_ear,0.624212384223938,0.1304178237915039,-0.2125585377216339,0.9998776912689209,1280,720,0.22748178114384693,-7.200780919775402
0,right_ear,0.5954878926277161,0.130946546792984,-0.1992911547422409,0.9997403025627136,1280,720,-0.40886534511575556,-7.189067871297166
0,mouth_left,0.6140346527099609,0.15589240193367004,-0.28209003806114197,0.9999839067459106,1280,720,0.002009724342920285,-6.636430649583839
0,mouth_right,0.6016795039176941,0.1569114327430725,-0.2784375846385956,0.999972939491272,1280,720,-0.27169967803699513,-6.613855582416469
0,left_shoulder,0.6523618102073669,0.22501423954963684,-0.14573436975479126,0.9999912977218628,1280,720,0.8510892093347932,-5.105142181644908
0,right_shoulder,0.5743345618247986,0.23222462832927704,-0.10946013778448105,0.9999587535858154,1280,720,-0.8774849975180892,-4.945407059309722
0,left_elbow,0.667431652545929,0.34426888823509216,-0.11108072102069855,0.9930397272109985,1280,720,1.1849384902944091,-2.463238051509867
0,right_elbow,0.5669769644737244,0.3520134687423706,-0.056807152926921844,0.9512311816215515,1280,720,-1.0404813003368014,-2.2916687294425278
0,left_wrist,0.6701445579528809,0.4487704932689667,-0.20147661864757538,0.9868373870849609,1280,720,1.2450387553850903,-0.14816501252982875
0,right_wrist,0.5598331689834595,0.4483543932437897,-0.13812781870365143,0.9497398138046265,1280,720,-1.1987411503184209,-0.15738307142465563
0,left_pinky,0.6723863482475281,0.4844566881656647,-0.23156437277793884,0.9697058200836182,1280,720,1.2947021865687796,0.6424079900795789
0,right_pinky,0.5567072629928589,0.48509323596954346,-0.16262342035770416,0.9164130687713623,1280,720,-1.2679908109229618,0.6565097319456875
0,left_index,0.6652677059173584,0.4835043251514435,-0.25955507159233093,0.9718464016914368,1280,720,1.1369995663327004,0.6213098458278179
0,right_index,0.5606909990310669,0.48346590995788574,-0.19917966425418854,0.9209375381469727,1280,720,-1.179737239186155,0.6204588160387167
0,left_thumb,0.6629077196121216,0.47503218054771423,-0.21377892792224884,0.9622293710708618,1280,720,1.0847176835248253,0.4336224553032802
0,right_thumb,0.5626295208930969,0.47295641899108887,-0.15431544184684753,0.910320520401001,1280,720,-1.136792255740165,0.38763713657504734
0,left_hip,0.6365131139755249,0.455629825592041,-0.01629999466240406,0.9999200105667114,1280,720,0.499985613007937,0.0037929915736126933
0,right_hip,0.5913747549057007,0.4552873969078064,0.01623944379389286,0.9998323917388916,1280,720,-0.499985613007937,-0.0037929915736126933
0,left_knee,0.64483642578125,0.6223198175430298,-0.02316589467227459,0.994687557220459,1280,720,0.6843758407964222,3.696554515269284
0,right_knee,0.6017540693283081,0.6123001575469971,0.10333237797021866,0.9849625825881958,1280,720,-0.27004779554488395,3.474584290897677
0,left_ankle,0.6583330631256104,0.7691439986228943,0.09547970443964005,0.9949266910552979,1280,720,0.9833731741167229,6.949219419106263
0,right_ankle,0.6059281826019287,0.7475837469100952,0.327719509601593,0.9852509498596191,1280,720,-0.17757670767713915,6.471585057052735
0,left_heel,0.6540777683258057,0.7874937057495117,0.0991029217839241,0.9140517115592957,1280,720,0.8891036338474949,7.355729082074994
0,right_heel,0.6140401363372803,0.7672207951545715,0.3435399532318115,0.8957952857017517,1280,720,0.00213120570924661,6.9066137912162056
0,left_foot_index,0.6700332760810852,0.822700560092926,-0.03121873363852501,0.9912599921226501,1280,720,1.2425734759184464,8.13568302872792
